Model,Avg WER (%),Near Field Speech,High SNR,Mid SNR,Low SNR,RTFx,Params (B)
zhifeixie/Mega-ASR,13.38,3.88,7.17,14.05,28.42,19.7833,2.038
Qwen/Qwen3-ASR-1.7B,13.41,3.76,6.74,13.89,29.26,25.7132,2.038
CohereLabs/cohere-transcribe-03-2026,15.03,4.28,7.79,15.25,32.79,63.2846,2.0
ibm-granite/granite-speech-4.1-2b-nar,15.16,4.07,8.22,16.41,31.95,211.1197,2.255
rohansheth/tiro-qwen3-asr-1.7b-ffasr-v1,15.29,4.11,8.36,15.79,32.89,28.0293,2.038
ibm-granite/granite-speech-5.0-470m-turboctc-nc,15.75,4.35,9.12,16.69,32.86,362.7312,0.473
ibm-granite/granite-speech-4.1-2b,16.35,4.26,8.16,16.35,36.62,21.6332,2.313
Qwen/Qwen3-ASR-0.6B,16.97,4.37,9.59,18.24,35.68,25.5306,0.782
nvidia/parakeet-tdt-1.1b,17.34,4.17,9.17,18.37,37.63,106.0419,1.07
ibm-granite/granite-speech-5.0-470m-turboctc,17.57,4.75,10.53,19.32,35.69,362.4898,0.473
nvidia/parakeet-tdt-0.6b-v2,17.66,4.2,10.22,19.11,37.11,215.0677,0.618
openai/whisper-large-v3,18.02,3.87,8.98,18.76,40.49,17.9925,1.543
nvidia/parakeet-tdt-0.6b-v3,19.04,5.1,10.57,20.26,40.23,127.081,0.627
AutoArk-AI/ARK-ASR-3B,19.13,4.34,9.66,21.25,41.27,23.5882,3.086
nvidia/canary-qwen-2.5b,19.54,4.89,9.87,20.76,42.65,1.6202,2.559
ibm-granite/granite-4.0-1b-speech,19.65,4.51,10.89,20.87,42.33,22.7215,2.313
bosonai/higgs-audio-v3-stt,19.71,3.97,10.17,21.72,42.99,6.1982,2.676
bosonai/higgs-audio-v3-8b-stt-v2,20.54,3.75,8.74,18.84,50.84,4.8264,8.906
mistralai/Voxtral-Mini-3B-2507,21.58,4.07,10.62,22.94,48.68,18.2236,4.274
nvidia/canary-1b-v2,21.62,4.44,10.5,23.04,48.49,45.944,1.0
kienpt0901/ffasr-bd6-rank32-beam-adapter,23.09,4.32,12.63,26.05,49.34,57.357,0.598
banhchungtuongot/ffasr-base-beam4-decode,23.25,4.2,12.84,26.37,49.6,63.6896,0.594
kienpt0901/ffasr-bd6-rank32-adapter-weights,24.02,4.4,13.17,27.49,51.03,75.6755,0.598
nvidia/canary-1b-flash,24.03,4.29,12.01,26.88,52.93,65.1848,1.0
banhchungtuongot/ffasr-pilot-x-adapter-weights,24.09,4.35,13.24,27.58,51.19,75.0894,0.596
nvidia/parakeet-ctc-1.1b,24.56,5.37,15.11,28.11,49.65,227.9919,1.063
efficient-speech/lite-whisper-large-v3-turbo-acc,26.04,4.33,13.33,29.48,57.03,92.5779,0.594
espnet/owsm_ctc_v4_1B,28.21,8.5,19.86,32.73,51.74,121.0978,1.0
mistralai/Voxtral-Mini-4B-Realtime-2602,30.65,4.75,18.83,36.66,62.37,1.2384,4.43
speechbrain/asr-conformer-loquacious,31.11,9.32,20.55,36.43,58.12,7.0491,0.483
GilgameshWind/X-ASR-zh-en,31.5,15.33,20.06,34.98,55.64,15.5683,NA
nvidia/stt_en_conformer_ctc_large,35.93,8.17,23.93,44.59,67.04,329.5814,0.122
efficient-speech/lite-whisper-large-v3-turbo,36.58,4.67,18.97,43.1,79.56,94.6719,0.547
nvidia/stt_en_fastconformer_hybrid_large_streaming_multi,47.08,8.46,35.22,63.16,81.47,293.981,0.115
UsefulSensors/moonshine-streaming-small,50.25,6.14,34.09,61.2,99.56,34.3052,0.14
openai/whisper-base,57.52,8.8,34.75,69.46,117.05,16.9546,0.074
speechbrain/asr-wav2vec2-librispeech,58.2,11.97,49.38,78.81,92.65,294.7178,0.317
openai/whisper-tiny,72.32,11.31,52.94,87.58,137.45,28.6912,0.039
